epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,2822.03,0.45961,0.38681,0.87224,0.93093,0.87134,0.93511,0.8013,0.59258,0.50884,0.9657,0.001002,0.001002,0.001002
76,2859.53,0.45524,0.37893,0.87266,0.93654,0.87386,0.93441,0.79925,0.59603,0.50942,0.97041,0.000975,0.000975,0.000975
77,2897.2,0.45235,0.37362,0.87137,0.94003,0.88391,0.9337,0.79782,0.59518,0.50638,0.96644,0.000948,0.000948,0.000948
78,2934.73,0.45381,0.37516,0.86926,0.93595,0.88164,0.93854,0.80254,0.59747,0.50103,0.96766,0.000921,0.000921,0.000921
79,2972.21,0.44963,0.37281,0.86819,0.9276,0.88432,0.93617,0.80221,0.59243,0.49754,0.96619,0.000894,0.000894,0.000894
80,3009.75,0.45028,0.36607,0.86493,0.92165,0.88055,0.93712,0.80157,0.59557,0.50407,0.97049,0.000867,0.000867,0.000867
81,3047.4,0.4491,0.36861,0.86775,0.93208,0.87799,0.93899,0.8056,0.59604,0.49831,0.97115,0.00084,0.00084,0.00084
82,3085.03,0.43942,0.36268,0.86588,0.9364,0.8805,0.93391,0.80062,0.59327,0.49643,0.9705,0.000813,0.000813,0.000813
83,3122.61,0.43724,0.36197,0.86483,0.91337,0.91135,0.94275,0.80658,0.58795,0.49194,0.96576,0.000786,0.000786,0.000786
84,3160.08,0.4363,0.36003,0.86272,0.91574,0.9003,0.94181,0.80403,0.59491,0.48811,0.96725,0.000759,0.000759,0.000759
85,3197.8,0.43301,0.35562,0.86042,0.93366,0.89811,0.94361,0.80914,0.59102,0.48737,0.96558,0.000732,0.000732,0.000732
86,3235.26,0.43307,0.35416,0.86182,0.94778,0.87344,0.94249,0.80689,0.59593,0.49246,0.96938,0.000705,0.000705,0.000705
87,3272.84,0.42967,0.35303,0.8582,0.92192,0.89438,0.94119,0.80474,0.5938,0.49952,0.96594,0.000678,0.000678,0.000678
88,3310.6,0.42932,0.35277,0.8611,0.92206,0.90404,0.9431,0.80808,0.59365,0.48089,0.96645,0.000651,0.000651,0.000651
89,3347.99,0.42679,0.35023,0.85862,0.92339,0.90224,0.94452,0.80485,0.59662,0.48518,0.97112,0.000624,0.000624,0.000624
90,3385.53,0.42079,0.34476,0.85819,0.93901,0.88428,0.94156,0.80443,0.60017,0.48311,0.97172,0.000597,0.000597,0.000597
91,3423.97,0.42059,0.34347,0.85726,0.95136,0.87286,0.94287,0.80846,0.59296,0.47786,0.96834,0.00057,0.00057,0.00057
92,3461.61,0.42018,0.34348,0.85471,0.91025,0.89842,0.94228,0.80718,0.59766,0.48374,0.96825,0.000543,0.000543,0.000543
93,3499.02,0.41417,0.3379,0.8536,0.92789,0.8818,0.94243,0.80753,0.58615,0.48341,0.9651,0.000516,0.000516,0.000516
94,3536.5,0.4142,0.33994,0.8534,0.93394,0.88506,0.94126,0.80732,0.59441,0.48357,0.96531,0.000489,0.000489,0.000489
95,3574.03,0.41219,0.3361,0.85259,0.90818,0.90834,0.94389,0.80499,0.59213,0.47467,0.96837,0.000462,0.000462,0.000462
96,3611.7,0.40423,0.33114,0.84978,0.94167,0.88279,0.94631,0.80667,0.59163,0.47591,0.9655,0.000435,0.000435,0.000435
97,3649.14,0.40648,0.33305,0.84623,0.93743,0.8821,0.94297,0.80751,0.59346,0.48327,0.96825,0.000408,0.000408,0.000408
98,3686.73,0.40149,0.32776,0.84757,0.94475,0.87795,0.94357,0.80981,0.59048,0.47973,0.96502,0.000381,0.000381,0.000381
99,3724.25,0.40118,0.32564,0.84822,0.90907,0.90631,0.94551,0.81085,0.58701,0.47988,0.96279,0.000354,0.000354,0.000354
100,3762,0.39832,0.32588,0.84611,0.92097,0.89916,0.94548,0.81224,0.58916,0.48528,0.96711,0.000327,0.000327,0.000327
